Mnigripes_gene_id,Mnigripes_transcript_id,Gene_Symbol,Mpfuro_ensembl_gene_id,description_mpfuro,description_hsapiens
MUSNIGG00034992,MUSNIGT00042064,PRDX6,ENSMPUG00000004648,peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753],peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]
MUSNIGG00034995,MUSNIGT00042068,BAIAP2L1,ENSMPUG00000016561,BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649],BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
MUSNIGG00034995,MUSNIGT00042068,BAIAP2L1,ENSMPUG00000016561,BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649],BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
MUSNIGG00034995,MUSNIGT00042068,BAIAP2L1,ENSMPUG00000016561,BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649],BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
MUSNIGG00034995,MUSNIGT00042068,BAIAP2L1,ENSMPUG00000016561,BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649],BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
MUSNIGG00034999,MUSNIGT00042073,ITPKB,ENSMPUG00000004596,inositol-trisphosphate 3-kinase B [Source:NCBI gene;Acc:101689936],inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]
MUSNIGG00035000,MUSNIGT00042074,C1ORF95,NA,NA,NA
MUSNIGG00035002,MUSNIGT00042077,PARP1,ENSMPUG00000004585,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270],poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]
MUSNIGG00035002,MUSNIGT00042077,PARP1,ENSMPUG00000004585,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270],poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]
MUSNIGG00035002,MUSNIGT00042077,PARP1,ENSMPUG00000004585,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270],poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]
MUSNIGG00035002,MUSNIGT00042077,PARP1,ENSMPUG00000004585,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270],poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]
MUSNIGG00035004,MUSNIGT00042079,LIN9,ENSMPUG00000004573,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830],lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]
MUSNIGG00035006,MUSNIGT00042081,ACBD3,ENSMPUG00000004563,acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453],acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]
MUSNIGG00035007,MUSNIGT00042082,H3F3B,NA,NA,NA
MUSNIGG00035008,MUSNIGT00042083,SDE2,ENSMPUG00000004543,SDE2 telomere maintenance homolog [Source:HGNC Symbol;Acc:HGNC:26643],SDE2 telomere maintenance homolog [Source:HGNC Symbol;Acc:HGNC:26643]
MUSNIGG00035009,MUSNIGT00042084,LEFTY1,NA,NA,left-right determination factor 1 [Source:HGNC Symbol;Acc:HGNC:6552]
MUSNIGG00035010,MUSNIGT00042085,PYCR2,NA,NA,pyrroline-5-carboxylate reductase 2 [Source:HGNC Symbol;Acc:HGNC:30262]
MUSNIGG00035011,MUSNIGT00042087,TMEM63A,ENSMPUG00000004462,transmembrane protein 63A [Source:HGNC Symbol;Acc:HGNC:29118],transmembrane protein 63A [Source:HGNC Symbol;Acc:HGNC:29118]
MUSNIGG00035012,MUSNIGT00042088,EPHX1,ENSMPUG00000004409,epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401],epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]
MUSNIGG00035013,MUSNIGT00042089,SRP9,NA,NA,signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]
MUSNIGG00035019,MUSNIGT00042096,ENAH,ENSMPUG00000004394,ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271],ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]
MUSNIGG00035023,MUSNIGT00042100,LBR,ENSMPUG00000004384,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518],lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]
MUSNIGG00035024,MUSNIGT00042101,DNAHC14,NA,NA,NA
MUSNIGG00035031,MUSNIGT00042108,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035031,MUSNIGT00042108,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035031,MUSNIGT00042108,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035031,MUSNIGT00042108,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035033,MUSNIGT00042110,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035033,MUSNIGT00042110,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035033,MUSNIGT00042110,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035033,MUSNIGT00042110,CNIH3,ENSMPUG00000004163,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]
MUSNIGG00035036,MUSNIGT00042114,WDR26,ENSMPUG00000004049,WD repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21208],WD repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21208]
MUSNIGG00035037,MUSNIGT00042115,CNIH4,NA,NA,cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013]
MUSNIGG00035039,MUSNIGT00042117,NVL,ENSMPUG00000004031,nuclear VCP like [Source:HGNC Symbol;Acc:HGNC:8070],nuclear VCP like [Source:HGNC Symbol;Acc:HGNC:8070]
MUSNIGG00035041,MUSNIGT00042119,DEGS1,ENSMPUG00000004010,"delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]","delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]"
MUSNIGG00035042,MUSNIGT00042120,FBXO28,ENSMPUG00000004002,F-box protein 28 [Source:HGNC Symbol;Acc:HGNC:29046],F-box protein 28 [Source:HGNC Symbol;Acc:HGNC:29046]
MUSNIGG00035044,MUSNIGT00042122,TP53BP2,ENSMPUG00000003981,tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000],tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]
MUSNIGG00035045,MUSNIGT00042123,CAPN2,ENSMPUG00000003968,calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479],calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]
MUSNIGG00035047,MUSNIGT00042126,CAPN8,NA,NA,calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]
MUSNIGG00035047,MUSNIGT00042126,CAPN8,NA,NA,calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]
MUSNIGG00035049,MUSNIGT00042129,TLR5,ENSMPUG00000018756,toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851],toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]
MUSNIGG00035050,MUSNIGT00042132,DISP1,ENSMPUG00000003049,dispatched RND transporter family member 1 [Source:NCBI gene;Acc:101692266],dispatched RND transporter family member 1 [Source:HGNC Symbol;Acc:HGNC:19711]
MUSNIGG00035054,MUSNIGT00042137,KDELC2,NA,NA,NA
MUSNIGG00035056,MUSNIGT00042141,KCNH1,NA,NA,potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]
MUSNIGG00035058,MUSNIGT00042143,HHAT,ENSMPUG00000003128,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270],hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
MUSNIGG00035060,MUSNIGT00042146,SERTAD4,ENSMPUG00000003124,SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236],SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236]
MUSNIGG00035061,MUSNIGT00042147,SYT14,ENSMPUG00000003122,synaptotagmin 14 [Source:HGNC Symbol;Acc:HGNC:23143],synaptotagmin 14 [Source:HGNC Symbol;Acc:HGNC:23143]
MUSNIGG00035062,MUSNIGT00042149,DIEXF,NA,NA,NA
MUSNIGG00035063,MUSNIGT00042150,IRF6,ENSMPUG00000003106,interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121],interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]
MUSNIGG00035063,MUSNIGT00042150,IRF6,ENSMPUG00000003106,interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121],interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]
MUSNIGG00035063,MUSNIGT00042150,IRF6,ENSMPUG00000003106,interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121],interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]
MUSNIGG00035063,MUSNIGT00042150,IRF6,ENSMPUG00000003106,interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121],interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]
MUSNIGG00035064,MUSNIGT00042151,C1ORF74,NA,NA,NA
MUSNIGG00035065,MUSNIGT00042153,TRAF3IP3,ENSMPUG00000003033,TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766],TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]
MUSNIGG00035066,MUSNIGT00042154,HSD11B1,ENSMPUG00000002995,hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208],hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]
MUSNIGG00035068,MUSNIGT00042156,LAMB3,ENSMPUG00000002986,laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490],laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]
MUSNIGG00035069,MUSNIGT00042158,CAMK1G,ENSMPUG00000002976,calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585],calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
MUSNIGG00035082,MUSNIGT00042171,,NA,NA,NA
MUSNIGG00035085,MUSNIGT00042175,PLXNA2,ENSMPUG00000002963,plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100],plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]
MUSNIGG00035088,MUSNIGT00042178,,NA,NA,NA
MUSNIGG00035090,MUSNIGT00042181,CD34,ENSMPUG00000002958,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662],CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
MUSNIGG00035094,MUSNIGT00042185,CR2,NA,NA,complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]
MUSNIGG00035095,MUSNIGT00042186,CD46,NA,NA,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
MUSNIGG00035095,MUSNIGT00042186,CD46,NA,NA,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
MUSNIGG00035096,MUSNIGT00042188,CD46,NA,NA,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
MUSNIGG00035096,MUSNIGT00042188,CD46,NA,NA,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
MUSNIGG00035097,MUSNIGT00042191,CR1,NA,NA,complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]
MUSNIGG00035097,MUSNIGT00042191,CR1,NA,NA,complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]
MUSNIGG00035098,MUSNIGT00042193,CR2,NA,NA,complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]
MUSNIGG00035099,MUSNIGT00042195,CD55,NA,NA,CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]
MUSNIGG00035103,MUSNIGT00042199,PSMC1,ENSMPUG00000008150,"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]","proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]"
MUSNIGG00035103,MUSNIGT00042199,PSMC1,ENSMPUG00000008150,"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]","proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]"
MUSNIGG00035103,MUSNIGT00042199,PSMC1,ENSMPUG00000008150,"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]","proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]"
MUSNIGG00035103,MUSNIGT00042199,PSMC1,ENSMPUG00000008150,"proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]","proteasome 26S subunit, ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9547]"
MUSNIGG00035104,MUSNIGT00042200,,NA,NA,NA
MUSNIGG00035105,MUSNIGT00042201,,NA,NA,NA
MUSNIGG00035107,MUSNIGT00042203,C4BPA,ENSMPUG00000009850,complement component 4 binding protein alpha [Source:NCBI gene;Acc:101691873],complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325]
MUSNIGG00035108,MUSNIGT00042205,PFKFB2,ENSMPUG00000009864,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]"
MUSNIGG00035109,MUSNIGT00042206,YOD1,ENSMPUG00000009875,YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035],YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035]
MUSNIGG00035110,MUSNIGT00042207,C1ORF116,NA,NA,NA
MUSNIGG00035111,MUSNIGT00042208,,NA,NA,NA
MUSNIGG00035112,MUSNIGT00042209,FCAMR,NA,NA,Fc fragment of IgA and IgM receptor [Source:HGNC Symbol;Acc:HGNC:24692]
MUSNIGG00035114,MUSNIGT00042211,PIGR,ENSMPUG00000009891,polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968],polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]
MUSNIGG00035115,MUSNIGT00042212,FAIM3,NA,NA,NA
MUSNIGG00035116,MUSNIGT00042213,IL24,ENSMPUG00000009902,interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346],interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346]
MUSNIGG00035117,MUSNIGT00042214,IL20,ENSMPUG00000009920,interleukin 20 [Source:HGNC Symbol;Acc:HGNC:6002],interleukin 20 [Source:HGNC Symbol;Acc:HGNC:6002]
MUSNIGG00035118,MUSNIGT00042215,IL19,ENSMPUG00000009944,interleukin 19 [Source:NCBI gene;Acc:101671841],interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990]
MUSNIGG00035120,MUSNIGT00042217,IL10,ENSMPUG00000009966,interleukin 10 [Source:NCBI gene;Acc:101672145],interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]
MUSNIGG00035122,MUSNIGT00042220,MAPKAPK2,ENSMPUG00000009973,MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887],MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]
MUSNIGG00035124,MUSNIGT00042222,DYRK3,ENSMPUG00000010083,dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094],dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]
MUSNIGG00035128,MUSNIGT00042226,CFHR5,ENSMPUG00000010090,complement factor H related 5 [Source:HGNC Symbol;Acc:HGNC:24668],complement factor H related 5 [Source:HGNC Symbol;Acc:HGNC:24668]
MUSNIGG00035129,MUSNIGT00042228,F13B,ENSMPUG00000010102,coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534],coagulation factor XIII B chain [Source:HGNC Symbol;Acc:HGNC:3534]
MUSNIGG00035131,MUSNIGT00042230,ASPM,ENSMPUG00000010120,abnormal spindle microtubule assembly [Source:HGNC Symbol;Acc:HGNC:19048],assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]
MUSNIGG00035132,MUSNIGT00042231,ZBTB41,ENSMPUG00000010318,zinc finger and BTB domain containing 41 [Source:NCBI gene;Acc:101674913],zinc finger and BTB domain containing 41 [Source:HGNC Symbol;Acc:HGNC:24819]
MUSNIGG00035134,MUSNIGT00042233,CRB1,ENSMPUG00000010326,crumbs cell polarity complex component 1 [Source:NCBI gene;Acc:101675618],crumbs cell polarity complex component 1 [Source:HGNC Symbol;Acc:HGNC:2343]
MUSNIGG00035135,MUSNIGT00042234,CRB1,ENSMPUG00000010326,crumbs cell polarity complex component 1 [Source:NCBI gene;Acc:101675618],crumbs cell polarity complex component 1 [Source:HGNC Symbol;Acc:HGNC:2343]
MUSNIGG00035137,MUSNIGT00042237,DENND1B,ENSMPUG00000010378,DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404],DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]
MUSNIGG00035139,MUSNIGT00042241,LHX9,ENSMPUG00000010406,LIM homeobox 9 [Source:HGNC Symbol;Acc:HGNC:14222],LIM homeobox 9 [Source:HGNC Symbol;Acc:HGNC:14222]
MUSNIGG00035142,MUSNIGT00042245,NEK7,ENSMPUG00000010432,NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386],NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]
MUSNIGG00035145,MUSNIGT00042248,ATP6V1G3,ENSMPUG00000010441,ATPase H+ transporting V1 subunit G3 [Source:NCBI gene;Acc:101680374],ATPase H+ transporting V1 subunit G3 [Source:HGNC Symbol;Acc:HGNC:18265]
MUSNIGG00035149,MUSNIGT00042254,PTPRC,ENSMPUG00000010447,protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666],protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]
MUSNIGG00035166,MUSNIGT00042271,NR5A2,ENSMPUG00000010466,nuclear receptor subfamily 5 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7984],nuclear receptor subfamily 5 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7984]
MUSNIGG00035171,MUSNIGT00042277,ZNF281,ENSMPUG00000019246,zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075],zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]
MUSNIGG00035172,MUSNIGT00042278,KIF14,ENSMPUG00000010474,kinesin family member 14 [Source:NCBI gene;Acc:101684147],kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]
MUSNIGG00035174,MUSNIGT00042282,DDX59,ENSMPUG00000010489,DEAD-box helicase 59 [Source:HGNC Symbol;Acc:HGNC:25360],DEAD-box helicase 59 [Source:HGNC Symbol;Acc:HGNC:25360]
MUSNIGG00035176,MUSNIGT00042285,CAMSAP2,ENSMPUG00000010520,calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188],calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]
MUSNIGG00035180,MUSNIGT00042289,C1ORF106,NA,NA,NA
MUSNIGG00035181,MUSNIGT00042291,,NA,NA,NA
MUSNIGG00035182,MUSNIGT00042294,KIF21B,ENSMPUG00000010558,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442],kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]
MUSNIGG00035183,MUSNIGT00042296,CACNA1S,ENSMPUG00000010571,calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397],calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]
MUSNIGG00035184,MUSNIGT00042297,ASCL5,NA,NA,achaete-scute family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:33169]
MUSNIGG00035185,MUSNIGT00042298,TMEM9,ENSMPUG00000010586,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823],transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
MUSNIGG00035186,MUSNIGT00042299,IGFN1,NA,NA,immunoglobulin like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24607]
MUSNIGG00035188,MUSNIGT00042302,PKP1,ENSMPUG00000010604,plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023],plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]
MUSNIGG00035189,MUSNIGT00042303,TNNT2,ENSMPUG00000010612,"troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]","troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]"
MUSNIGG00035190,MUSNIGT00042304,LAD1,ENSMPUG00000010779,ladinin 1 [Source:NCBI gene;Acc:101673769],ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]
MUSNIGG00035191,MUSNIGT00042305,TNNI1,ENSMPUG00000010809,"troponin I1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11945]","troponin I1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11945]"
MUSNIGG00035192,MUSNIGT00042306,PHLDA3,ENSMPUG00000019256,pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934],pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]
MUSNIGG00035194,MUSNIGT00042308,CSRP1,ENSMPUG00000010813,cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469],cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]
MUSNIGG00035195,MUSNIGT00042310,NAV1,ENSMPUG00000010860,neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989],neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989]
MUSNIGG00035196,MUSNIGT00042311,IPO9,ENSMPUG00000010874,importin 9 [Source:HGNC Symbol;Acc:HGNC:19425],importin 9 [Source:HGNC Symbol;Acc:HGNC:19425]
MUSNIGG00035198,MUSNIGT00042313,SHISA4,ENSMPUG00000010884,shisa family member 4 [Source:HGNC Symbol;Acc:HGNC:27139],shisa family member 4 [Source:HGNC Symbol;Acc:HGNC:27139]
MUSNIGG00035199,MUSNIGT00042314,LMOD1,ENSMPUG00000010900,leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647],leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]
MUSNIGG00035200,MUSNIGT00042315,TIMM17A,ENSMPUG00000010908,translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315],translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315]
MUSNIGG00035202,MUSNIGT00042318,RNPEP,ENSMPUG00000010929,arginyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:10078],arginyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:10078]
MUSNIGG00035205,MUSNIGT00042323,GPR37L1,ENSMPUG00000010953,G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923],G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]
MUSNIGG00035206,MUSNIGT00042324,ARL8A,ENSMPUG00000010959,ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192],ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]
MUSNIGG00035208,MUSNIGT00042327,PTPN7,ENSMPUG00000010988,protein tyrosine phosphatase non-receptor type 7 [Source:NCBI gene;Acc:101673290],protein tyrosine phosphatase non-receptor type 7 [Source:HGNC Symbol;Acc:HGNC:9659]
MUSNIGG00035210,MUSNIGT00042331,,NA,NA,NA
MUSNIGG00035211,MUSNIGT00042334,LGR6,ENSMPUG00000011078,leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719],leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719]
MUSNIGG00035212,MUSNIGT00042336,UBE2T,ENSMPUG00000011160,ubiquitin conjugating enzyme E2 T [Source:NCBI gene;Acc:101674045],ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]
MUSNIGG00035213,MUSNIGT00042338,PPP1R12B,ENSMPUG00000011165,protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619],protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]
MUSNIGG00035214,MUSNIGT00042343,SYT2,ENSMPUG00000011176,synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:11510],synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:11510]
MUSNIGG00035216,MUSNIGT00042347,KDM5B,ENSMPUG00000011183,lysine demethylase 5B [Source:NCBI gene;Acc:101678160],lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]
MUSNIGG00035218,MUSNIGT00042349,,NA,NA,NA
MUSNIGG00035219,MUSNIGT00042350,RABIF,ENSMPUG00000011205,RAB interacting factor [Source:NCBI gene;Acc:101679181],RAB interacting factor [Source:HGNC Symbol;Acc:HGNC:9797]
